,Administered,textblob_agg_sentiment,nltk_agg_sentiment,Vader_agg_sentiment
7/20/2021,694665840,186468.2481,-693433,361678
7/21/2021,695924500,160934.7787,-705685,375949
7/22/2021,697259348,181303.9282,-899031,498541
7/23/2021,698458911,208852.1603,-967761,371196
7/24/2021,699823425,113264.9918,-609365,225522
7/25/2021,701397151,116602.7437,-426000,249000
7/26/2021,702184652,215841.2814,-1041741,467283
7/27/2021,702977705,246521.5378,-1172651,541968
7/28/2021,704494043,245393.0944,-1338684,478824
7/29/2021,705932348,347915.3548,-1488452,455906
7/30/2021,707660172,378007.6159,-1971040,631952
7/31/2021,709100426,,,
8/1/2021,710748186,,,
8/2/2021,711687872,365495.6886,-1618439,563616
8/3/2021,712596258,635683.883,-2953104,1329944
8/4/2021,714060713,779397.8799,-3384864,1562022
8/5/2021,715805607,342567.3126,-1713699,742014
8/6/2021,717464760,252550.2786,-1023817,532145
8/7/2021,719158886,181225.8493,-789693,439794
8/8/2021,720722021,113096.9216,-643545,246295
8/9/2021,721789066,378008.8317,-1951069,812779
8/10/2021,723026669,,,
8/11/2021,724350295,,,
8/12/2021,725676500,,,
8/13/2021,727530633,66822.90969,-173756,76108
8/14/2021,729536564,160562.7577,-945168,310982
8/15/2021,730880861,119421.3826,-517132,207466
8/16/2021,732604643,188495.3939,-751649,385732
8/17/2021,733812644,198546.9962,-973608,400644
8/18/2021,735237507,143278.6389,-751855,446540
8/19/2021,737300431,191335.4712,-862491,232155
8/20/2021,739341628,219310.1948,-1010688,462336
8/21/2021,741460274,162090.8797,-587061,305681
8/22/2021,743423328,80578.56586,-305881,152467
8/23/2021,744653478,356449.028,-1303136,980728
8/24/2021,745957425,254252.3133,-1060641,670419
8/25/2021,747838251,159806.1676,-620160,367232
8/26/2021,749715346,141470.6251,-586988,323186
8/27/2021,751887925,,,
8/28/2021,754064442,,,
8/29/2021,756002444,,,
8/30/2021,757399811,,,
8/31/2021,758719509,,,
9/1/2021,760883856,,,
9/2/2021,,,,
9/3/2021,,,,
9/4/2021,,,,
9/5/2021,,,,
9/6/2021,,,,
9/7/2021,,81596.97686,-352379,158949
9/8/2021,,83235.64603,-351348,158194
